58,61,2,1,9,13,4,3
50,52,1,1,10,58,60,-1,SPIKE
51,52,1,1,10,58,60,-1,SPIKE
4,10,1,1,10,58,60,-1,SPIKE
4,11,1,1,10,58,60,-1,SPIKE
2,22,1,1,10,58,60,-1,SPIKE
3,22,1,1,10,58,60,-1,SPIKE
6,16,1,1,10,58,60,-1,SPIKE
7,16,1,1,10,58,60,-1,SPIKE
15,2,1,1,10,58,60,-1,SPIKE
15,3,1,1,10,58,60,-1,SPIKE
13,14,1,1,10,58,60,-1,SPIKE
13,15,1,1,10,58,60,-1,SPIKE
14,20,1,1,10,58,60,-1,SPIKE
15,20,1,1,10,58,60,-1,SPIKE
29,7,1,1,10,58,60,-1,SPIKE
29,8,1,1,10,58,60,-1,SPIKE
29,9,1,1,10,58,60,-1,SPIKE
27,7,1,1,10,58,60,-1,SPIKE
27,8,1,1,10,58,60,-1,SPIKE
27,9,1,1,10,58,60,-1,SPIKE
33,2,1,1,10,58,60,-1,SPIKE
33,3,1,1,10,58,60,-1,SPIKE
36,6,1,1,10,58,60,-1,SPIKE
36,7,1,1,10,58,60,-1,SPIKE
34,21,1,1,10,58,60,-1,SPIKE
35,21,1,1,10,58,60,-1,SPIKE
50,11,1,1,10,58,60,-1,SPIKE
51,11,1,1,10,58,60,-1,SPIKE
55,2,1,1,10,58,60,-1,SPIKE
55,3,1,1,10,58,60,-1,SPIKE
50,22,1,1,10,58,60,-1,SPIKE
50,23,1,1,10,58,60,-1,SPIKE
54,22,1,1,10,58,60,-1,SPIKE
54,23,1,1,10,58,60,-1,SPIKE
52,26,1,1,10,58,60,-1,SPIKE
52,27,1,1,10,58,60,-1,SPIKE
57,34,1,1,10,58,60,-1,SPIKE
57,35,1,1,10,58,60,-1,SPIKE
38,42,1,1,10,58,60,-1,SPIKE
38,43,1,1,10,58,60,-1,SPIKE
33,50,1,1,10,58,60,-1,SPIKE
33,51,1,1,10,58,60,-1,SPIKE
30,57,1,1,10,58,60,-1,SPIKE
31,57,1,1,10,58,60,-1,SPIKE
2,47,1,1,10,58,60,-1,SPIKE
3,47,1,1,10,58,60,-1,SPIKE
6,49,1,1,10,58,60,-1,SPIKE
7,49,1,1,10,58,60,-1,SPIKE
10,44,1,1,10,58,60,-1,SPIKE
10,53,1,1,10,58,60,-1,SPIKE
11,44,1,1,10,58,60,-1,SPIKE
11,54,1,1,10,58,60,-1,SPIKE
2,36,1,1,10,58,60,-1,SPIKE
3,36,1,1,10,58,60,-1,SPIKE
11,34,1,1,10,58,60,-1,SPIKE
11,35,1,1,10,58,60,-1,SPIKE
14,28,1,1,10,58,60,-1,SPIKE
15,28,1,1,10,58,60,-1,SPIKE
25,26,1,1,10,58,60,-1,SPIKE
25,27,1,1,10,58,60,-1,SPIKE
22,28,1,1,10,58,60,-1,SPIKE
23,29,1,1,10,58,60,-1,SPIKE
26,33,1,1,10,58,60,-1,SPIKE
27,33,1,1,10,58,60,-1,SPIKE
